no,komentar,sentimen,Tweet,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized,tweet_tokens_stemmed
81,engga sempat lagi sibuk MBKM,Positif,engga sempat lagi sibuk mbkm,"['engga', 'sempat', 'lagi', 'sibuk', 'mbkm']",<FreqDist with 5 samples and 5 outcomes>,"['engga', 'sempat', 'lagi', 'sibuk', 'mbkm']","['engga', 'sempat', 'lagi', 'sibuk', 'mbkm']","['engga', 'sempat', 'lagi', 'sibuk', 'mbkm']"
82,privilege adalah udah ngambil mbkm,Positif,privilege adalah udah ngambil mbkm,"['privilege', 'adalah', 'udah', 'ngambil', 'mbkm']",<FreqDist with 5 samples and 5 outcomes>,"['privilege', 'adalah', 'udah', 'ngambil', 'mbkm']","['privilege', 'adalah', 'udah', 'ngambil', 'mbkm']","['privilege', 'adalah', 'udah', 'ngambil', 'mbkm']"
83,Deadline MBKM menunggu,Positif,deadline mbkm menunggu,"['deadline', 'mbkm', 'menunggu']",<FreqDist with 3 samples and 3 outcomes>,"['deadline', 'mbkm', 'menunggu']","['deadline', 'mbkm', 'menunggu']","['deadline', 'mbkm', 'tunggu']"
84,"awal banget masuk dunia modeling itu karna mbkm semester 5, terimakasih mbkm",Positif,awal banget masuk dunia modeling itu karna mbkm semester terimakasih mbkm,"['awal', 'banget', 'masuk', 'dunia', 'modeling', 'itu', 'karna', 'mbkm', 'semester', 'terimakasih', 'mbkm']",<FreqDist with 10 samples and 11 outcomes>,"['awal', 'masuk', 'dunia', 'modeling', 'itu', 'karna', 'mbkm', 'semester', 'terimakasih', 'mbkm']","['awal', 'masuk', 'dunia', 'modeling', 'itu', 'karna', 'mbkm', 'semester', 'terimakasih', 'mbkm']","['awal', 'masuk', 'dunia', 'modeling', 'itu', 'karna', 'mbkm', 'semester', 'terimakasih', 'mbkm']"
85,BRI karena mbkm cuma bisa pake BRI,Positif,bri karena mbkm cuma bisa pake bri,"['bri', 'karena', 'mbkm', 'cuma', 'bisa', 'pake', 'bri']",<FreqDist with 6 samples and 7 outcomes>,"['bri', 'karena', 'mbkm', 'cuma', 'bisa', 'pake', 'bri']","['bri', 'karena', 'mbkm', 'cuma', 'bisa', 'pake', 'bri']","['bri', 'karena', 'mbkm', 'cuma', 'bisa', 'pake', 'bri']"
86,"Program mbkm kemendikbud, yg katanya bakal dapat keadilan di dunia kerja untuk mahasiswa yang magang",Positif,program mbkm kemendikbud yg katanya bakal dapat keadilan di dunia kerja untuk mahasiswa yang magang,"['program', 'mbkm', 'kemendikbud', 'yg', 'katanya', 'bakal', 'dapat', 'keadilan', 'di', 'dunia', 'kerja', 'untuk', 'mahasiswa', 'yang', 'magang']",<FreqDist with 15 samples and 15 outcomes>,"['program', 'mbkm', 'kemendikbud', 'yg', 'katanya', 'bakal', 'dapat', 'keadilan', 'di', 'dunia', 'kerja', 'untuk', 'mahasiswa', 'magang']","['program', 'mbkm', 'kemendikbud', 'yg', 'katanya', 'bakal', 'dapat', 'keadilan', 'di', 'dunia', 'kerja', 'untuk', 'mahasiswa', 'magang']","['program', 'mbkm', 'kemendikbud', 'yg', 'kata', 'bakal', 'dapat', 'adil', 'di', 'dunia', 'kerja', 'untuk', 'mahasiswa', 'magang']"
87,"sampe kalo bener masih disuruh magang profesi habis magang mbkm 6 bulan, anjir gila ya fakultas, kasian temen w anjir, udah pada sinting",Negatif,sampe kalo bener masih disuruh magang profesi habis magang mbkm bulan anjir gila ya fakultas kasian temen  anjir udah pada sinting,"['sampe', 'kalo', 'bener', 'masih', 'disuruh', 'magang', 'profesi', 'habis', 'magang', 'mbkm', 'bulan', 'anjir', 'gila', 'ya', 'fakultas', 'kasian', 'temen', 'anjir', 'udah', 'pada', 'sinting']",<FreqDist with 19 samples and 21 outcomes>,"['sampe', 'kalo', 'bener', 'masih', 'disuruh', 'magang', 'profesi', 'habis', 'magang', 'mbkm', 'bulan', 'anjir', 'gila', 'fakultas', 'kasian', 'temen', 'anjir', 'udah', 'pada', 'sinting']","['sampe', 'kalo', 'bener', 'masih', 'disuruh', 'magang', 'profesi', 'habis', 'magang', 'mbkm', 'bulan', 'anjir', 'gila', 'fakultas', 'kasian', 'temen', 'anjir', 'udah', 'pada', 'sinting']","['sampe', 'kalo', 'bener', 'masih', 'suruh', 'magang', 'profesi', 'habis', 'magang', 'mbkm', 'bulan', 'anjir', 'gila', 'fakultas', 'kasi', 'temen', 'anjir', 'udah', 'pada', 'sinting']"
88,bener mbkm oleh duit,Negatif,bener mbkm oleh duit,"['bener', 'mbkm', 'oleh', 'duit']",<FreqDist with 4 samples and 4 outcomes>,"['bener', 'mbkm', 'oleh', 'duit']","['bener', 'mbkm', 'oleh', 'duit']","['bener', 'mbkm', 'oleh', 'duit']"
89,mbkm energi emg asik,Positif,mbkm energi emg asik,"['mbkm', 'energi', 'emg', 'asik']",<FreqDist with 4 samples and 4 outcomes>,"['mbkm', 'energi', 'emg', 'asik']","['mbkm', 'energi', 'emg', 'asik']","['mbkm', 'energi', 'emg', 'asik']"
90,bsbsnya mbkm lotre wkkwkw,Positif,bsbsnya mbkm lotre wkkwkw,"['bsbsnya', 'mbkm', 'lotre', 'wkkwkw']",<FreqDist with 4 samples and 4 outcomes>,"['bsbsnya', 'mbkm', 'lotre', 'wkkwkw']","['bsbsnya', 'mbkm', 'lotre', 'wkkwkw']","['bsbsnya', 'mbkm', 'lotre', 'wkkwkw']"
91,"Tingkatkan Program MBKM, UNMUL dan Universitas Bosowa Jalin Kerjasama",Positif,tingkatkan program mbkm unmul dan universitas bosowa jalin kerjasama,"['tingkatkan', 'program', 'mbkm', 'unmul', 'dan', 'universitas', 'bosowa', 'jalin', 'kerjasama']",<FreqDist with 9 samples and 9 outcomes>,"['tingkatkan', 'program', 'mbkm', 'unmul', 'dan', 'universitas', 'bosowa', 'jalin', 'kerjasama']","['tingkatkan', 'program', 'mbkm', 'unmul', 'dan', 'universitas', 'bosowa', 'jalin', 'kerjasama']","['tingkat', 'program', 'mbkm', 'unmul', 'dan', 'universitas', 'bosowa', 'jalin', 'kerjasama']"
92,"gua ikut mbkm tp kelas cuma ber4 doang muridnya, berasa lg les private",Positif,gua ikut mbkm tp kelas cuma ber doang muridnya berasa lg les private,"['gua', 'ikut', 'mbkm', 'tp', 'kelas', 'cuma', 'ber', 'doang', 'muridnya', 'berasa', 'lg', 'les', 'private']",<FreqDist with 13 samples and 13 outcomes>,"['gua', 'ikut', 'mbkm', 'tp', 'kelas', 'cuma', 'ber', 'doang', 'muridnya', 'berasa', 'lg', 'les', 'private']","['gua', 'ikut', 'mbkm', 'tp', 'kelas', 'cuma', 'ber', 'doang', 'muridnya', 'berasa', 'lg', 'les', 'private']","['gua', 'ikut', 'mbkm', 'tp', 'kelas', 'cuma', 'ber', 'doang', 'murid', 'asa', 'lg', 'les', 'private']"
93,Program Pejuangmuda awalnya digagas untuk program magang pada kurikulum MBKM. agar kedepan subtansinya sesuai,Positif,program pejuangmuda awalnya digagas untuk program magang pada kurikulum mbkm agar kedepan subtansinya sesuai,"['program', 'pejuangmuda', 'awalnya', 'digagas', 'untuk', 'program', 'magang', 'pada', 'kurikulum', 'mbkm', 'agar', 'kedepan', 'subtansinya', 'sesuai']",<FreqDist with 13 samples and 14 outcomes>,"['program', 'pejuangmuda', 'awalnya', 'digagas', 'untuk', 'program', 'magang', 'pada', 'kurikulum', 'mbkm', 'agar', 'kedepan', 'subtansinya', 'sesuai']","['program', 'pejuangmuda', 'awalnya', 'digagas', 'untuk', 'program', 'magang', 'pada', 'kurikulum', 'mbkm', 'agar', 'kedepan', 'subtansinya', 'sesuai']","['program', 'pejuangmuda', 'awal', 'gagas', 'untuk', 'program', 'magang', 'pada', 'kurikulum', 'mbkm', 'agar', 'depan', 'subtansinya', 'sesuai']"
94,"MoU, Unitas Padang Luncurkan Program MBKM Berbasis BumNag, ",Positif,mou unitas padang luncurkan program mbkm berbasis bumnag,"['mou', 'unitas', 'padang', 'luncurkan', 'program', 'mbkm', 'berbasis', 'bumnag']",<FreqDist with 8 samples and 8 outcomes>,"['mou', 'unitas', 'padang', 'luncurkan', 'program', 'mbkm', 'berbasis', 'bumnag']","['mou', 'unitas', 'padang', 'luncurkan', 'program', 'mbkm', 'berbasis', 'bumnag']","['mou', 'unitas', 'padang', 'luncur', 'program', 'mbkm', 'bas', 'bumnag']"
95,"Undana dan Pemkab Manggarai Barat Jalin KerjaSama, Rektor Dorong Program MBKM-Izin RisetÃ‚Â Komodo ",Positif,undana dan pemkab manggarai barat jalin kerjasama rektor dorong program mbkmizin risetkomodo,"['undana', 'dan', 'pemkab', 'manggarai', 'barat', 'jalin', 'kerjasama', 'rektor', 'dorong', 'program', 'mbkmizin', 'risetkomodo']",<FreqDist with 12 samples and 12 outcomes>,"['undana', 'dan', 'pemkab', 'manggarai', 'barat', 'jalin', 'kerjasama', 'rektor', 'dorong', 'program', 'mbkmizin', 'risetkomodo']","['undana', 'dan', 'pemkab', 'manggarai', 'barat', 'jalin', 'kerjasama', 'rektor', 'dorong', 'program', 'mbkmizin', 'risetkomodo']","['undana', 'dan', 'pemkab', 'manggarai', 'barat', 'jalin', 'kerjasama', 'rektor', 'dorong', 'program', 'mbkmizin', 'risetkomodo']"
96,kalo pengumuman pmmb duluan gaakan bawa mbkm lama bet lurr cairnya tp gpp deng sing penting cukup sesuai sm timeline w,Negatif,kalo pengumuman pmmb duluan gaakan bawa mbkm lama bet lurr cairnya tp gpp deng sing penting cukup sesuai sm timeline ,"['kalo', 'pengumuman', 'pmmb', 'duluan', 'gaakan', 'bawa', 'mbkm', 'lama', 'bet', 'lurr', 'cairnya', 'tp', 'gpp', 'deng', 'sing', 'penting', 'cukup', 'sesuai', 'sm', 'timeline']",<FreqDist with 20 samples and 20 outcomes>,"['kalo', 'pengumuman', 'pmmb', 'duluan', 'gaakan', 'bawa', 'mbkm', 'lama', 'bet', 'lurr', 'cairnya', 'tp', 'gpp', 'deng', 'sing', 'penting', 'sesuai', 'sm', 'timeline']","['kalo', 'pengumuman', 'pmmb', 'duluan', 'gaakan', 'bawa', 'mbkm', 'lama', 'bet', 'lurr', 'cairnya', 'tp', 'gpp', 'deng', 'sing', 'penting', 'sesuai', 'sm', 'timeline']","['kalo', 'umum', 'pmmb', 'duluan', 'gaakan', 'bawa', 'mbkm', 'lama', 'bet', 'lurr', 'cair', 'tp', 'gpp', 'deng', 'sing', 'penting', 'sesuai', 'sm', 'timeline']"
97,Mbkm magang ini rollercoaster bgt asu,Negatif,mbkm magang ini rollercoaster bgt asu,"['mbkm', 'magang', 'ini', 'rollercoaster', 'bgt', 'asu']",<FreqDist with 6 samples and 6 outcomes>,"['mbkm', 'magang', 'rollercoaster', 'bgt', 'asu']","['mbkm', 'magang', 'rollercoaster', 'bgt', 'asu']","['mbkm', 'magang', 'rollercoaster', 'bgt', 'asu']"
98,FIB UGM menilai hasil magang mahasiswa dalam program Merdeka Belajar Kampus Merdeka (MBKM) tidak seideal yang direncanakan,Positif,fib ugm menilai hasil magang mahasiswa dalam program merdeka belajar kampus merdeka mbkm tidak seideal yang direncanakan,"['fib', 'ugm', 'menilai', 'hasil', 'magang', 'mahasiswa', 'dalam', 'program', 'merdeka', 'belajar', 'kampus', 'merdeka', 'mbkm', 'tidak', 'seideal', 'yang', 'direncanakan']",<FreqDist with 16 samples and 17 outcomes>,"['fib', 'ugm', 'menilai', 'hasil', 'magang', 'mahasiswa', 'dalam', 'program', 'merdeka', 'belajar', 'kampus', 'merdeka', 'mbkm', 'tidak', 'seideal', 'direncanakan']","['fib', 'ugm', 'menilai', 'hasil', 'magang', 'mahasiswa', 'dalam', 'program', 'merdeka', 'belajar', 'kampus', 'merdeka', 'mbkm', 'tidak', 'seideal', 'direncanakan']","['fib', 'ugm', 'nilai', 'hasil', 'magang', 'mahasiswa', 'dalam', 'program', 'merdeka', 'ajar', 'kampus', 'merdeka', 'mbkm', 'tidak', 'ideal', 'rencana']"
99,Universitas Hasanuddin (Unhas) melalui Bidang Akademik menyelenggarakan sosialisasi program Merdeka Belajar Kampus,Positif,universitas hasanuddin unhas melalui bidang akademik menyelenggarakan sosialisasi program merdeka belajar kampus,"['universitas', 'hasanuddin', 'unhas', 'melalui', 'bidang', 'akademik', 'menyelenggarakan', 'sosialisasi', 'program', 'merdeka', 'belajar', 'kampus']",<FreqDist with 12 samples and 12 outcomes>,"['universitas', 'hasanuddin', 'unhas', 'melalui', 'bidang', 'akademik', 'menyelenggarakan', 'sosialisasi', 'program', 'merdeka', 'belajar', 'kampus']","['universitas', 'hasanuddin', 'unhas', 'melalui', 'bidang', 'akademik', 'menyelenggarakan', 'sosialisasi', 'program', 'merdeka', 'belajar', 'kampus']","['universitas', 'hasanuddin', 'unhas', 'lalu', 'bidang', 'akademik', 'selenggara', 'sosialisasi', 'program', 'merdeka', 'ajar', 'kampus']"
100,Sebagai salah satu mahasiswa yang sempat ikut proses seleksi MBKM meskipun akhirnya ketolak. Tidak dapat dipungkiri,Negatif,sebagai salah satu mahasiswa yang sempat ikut proses seleksi mbkm meskipun akhirnya ketolak tidak dapat dipungkiri,"['sebagai', 'salah', 'satu', 'mahasiswa', 'yang', 'sempat', 'ikut', 'proses', 'seleksi', 'mbkm', 'meskipun', 'akhirnya', 'ketolak', 'tidak', 'dapat', 'dipungkiri']",<FreqDist with 16 samples and 16 outcomes>,"['salah', 'satu', 'mahasiswa', 'sempat', 'ikut', 'proses', 'seleksi', 'mbkm', 'meskipun', 'akhirnya', 'ketolak', 'tidak', 'dapat', 'dipungkiri']","['salah', 'satu', 'mahasiswa', 'sempat', 'ikut', 'proses', 'seleksi', 'mbkm', 'meskipun', 'akhirnya', 'ketolak', 'tidak', 'dapat', 'dipungkiri']","['salah', 'satu', 'mahasiswa', 'sempat', 'ikut', 'proses', 'seleksi', 'mbkm', 'meski', 'akhir', 'tolak', 'tidak', 'dapat', 'dipungkiri']"
101,iyaa abis kkn di suruh pkl atau magang lewat mbkm ,Positif,iyaa abis kkn di suruh pkl atau magang lewat mbkm,"['iyaa', 'abis', 'kkn', 'di', 'suruh', 'pkl', 'atau', 'magang', 'lewat', 'mbkm']",<FreqDist with 10 samples and 10 outcomes>,"['iyaa', 'abis', 'kkn', 'di', 'suruh', 'pkl', 'atau', 'magang', 'lewat', 'mbkm']","['iyaa', 'abis', 'kkn', 'di', 'suruh', 'pkl', 'atau', 'magang', 'lewat', 'mbkm']","['iyaa', 'abis', 'kkn', 'di', 'suruh', 'pkl', 'atau', 'magang', 'lewat', 'mbkm']"
102,udah cukup mental diacak-acak sama pmm mbkm kemarin hehe,Negatif,udah cukup mental diacakacak sama pmm mbkm kemarin hehe,"['udah', 'cukup', 'mental', 'diacakacak', 'sama', 'pmm', 'mbkm', 'kemarin', 'hehe']",<FreqDist with 9 samples and 9 outcomes>,"['udah', 'mental', 'diacakacak', 'pmm', 'mbkm', 'kemarin']","['udah', 'mental', 'diacakacak', 'pmm', 'mbkm', 'kemarin']","['udah', 'mental', 'diacakacak', 'pmm', 'mbkm', 'kemarin']"
103,"Pencairan mbkm semester ini rada telat, Keterlaluan malah telat banget ini wkwk",Negatif,pencairan mbkm semester ini rada telat keterlaluan malah telat banget ini wkwk,"['pencairan', 'mbkm', 'semester', 'ini', 'rada', 'telat', 'keterlaluan', 'malah', 'telat', 'banget', 'ini', 'wkwk']",<FreqDist with 10 samples and 12 outcomes>,"['pencairan', 'mbkm', 'semester', 'rada', 'telat', 'keterlaluan', 'malah', 'telat']","['pencairan', 'mbkm', 'semester', 'rada', 'telat', 'keterlaluan', 'malah', 'telat']","['cair', 'mbkm', 'semester', 'rada', 'telat', 'terlalu', 'malah', 'telat']"
104,"Demi Allah MBKM lelet, gini lo ya kalo emang ga perlu revisi krs dosen pengampu dikasih pengarahan biar paham",Negatif,demi allah mbkm lelet gini lo ya kalo emang ga perlu revisi krs dosen pengampu dikasih pengarahan biar paham,"['demi', 'allah', 'mbkm', 'lelet', 'gini', 'lo', 'ya', 'kalo', 'emang', 'ga', 'perlu', 'revisi', 'krs', 'dosen', 'pengampu', 'dikasih', 'pengarahan', 'biar', 'paham']",<FreqDist with 19 samples and 19 outcomes>,"['demi', 'allah', 'mbkm', 'lelet', 'gini', 'lo', 'kalo', 'perlu', 'revisi', 'krs', 'dosen', 'pengampu', 'dikasih', 'pengarahan', 'paham']","['demi', 'allah', 'mbkm', 'lelet', 'gini', 'lo', 'kalo', 'perlu', 'revisi', 'krs', 'dosen', 'pengampu', 'dikasih', 'pengarahan', 'paham']","['demi', 'allah', 'mbkm', 'lelet', 'gin', 'lo', 'kalo', 'perlu', 'revisi', 'krs', 'dosen', 'ampu', 'kasih', 'arah', 'paham']"
105,"Selama enam bulan, mahasiswa peserta magang juga akan mendapatkan gaji",Positif,selama enam bulan mahasiswa peserta magang juga akan mendapatkan gaji,"['selama', 'enam', 'bulan', 'mahasiswa', 'peserta', 'magang', 'juga', 'akan', 'mendapatkan', 'gaji']",<FreqDist with 10 samples and 10 outcomes>,"['selama', 'enam', 'bulan', 'mahasiswa', 'peserta', 'magang', 'juga', 'akan', 'mendapatkan', 'gaji']","['selama', 'enam', 'bulan', 'mahasiswa', 'peserta', 'magang', 'juga', 'akan', 'mendapatkan', 'gaji']","['lama', 'enam', 'bulan', 'mahasiswa', 'serta', 'magang', 'juga', 'akan', 'dapat', 'gaji']"
106,"MBKM berarti tidak mengikuti kuliah seperti biasa, Kalau iya mengikuti seperti biasa, gue bisa stres",Negatif,mbkm berarti tidak mengikuti kuliah seperti biasa kalau iya mengikuti seperti biasa gue bisa stres,"['mbkm', 'berarti', 'tidak', 'mengikuti', 'kuliah', 'seperti', 'biasa', 'kalau', 'iya', 'mengikuti', 'seperti', 'biasa', 'gue', 'bisa', 'stres']",<FreqDist with 12 samples and 15 outcomes>,"['mbkm', 'berarti', 'tidak', 'mengikuti', 'kuliah', 'seperti', 'biasa', 'kalau', 'iya', 'mengikuti', 'seperti', 'biasa', 'gue', 'bisa', 'stres']","['mbkm', 'berarti', 'tidak', 'mengikuti', 'kuliah', 'seperti', 'biasa', 'kalau', 'iya', 'mengikuti', 'seperti', 'biasa', 'gue', 'bisa', 'stres']","['mbkm', 'arti', 'tidak', 'ikut', 'kuliah', 'seperti', 'biasa', 'kalau', 'iya', 'ikut', 'seperti', 'biasa', 'gue', 'bisa', 'stres']"
107,"Presiden Republik Indonesia (RI), Joko Widodo mendukung terhadap kebijakan Merdeka Belajar Kampus Merdeka",Positif,presiden republik indonesia ri joko widodo mendukung terhadap kebijakan merdeka belajar kampus merdeka,"['presiden', 'republik', 'indonesia', 'ri', 'joko', 'widodo', 'mendukung', 'terhadap', 'kebijakan', 'merdeka', 'belajar', 'kampus', 'merdeka']",<FreqDist with 12 samples and 13 outcomes>,"['presiden', 'republik', 'indonesia', 'ri', 'joko', 'widodo', 'mendukung', 'kebijakan', 'merdeka', 'belajar', 'kampus', 'merdeka']","['presiden', 'republik', 'indonesia', 'ri', 'joko', 'widodo', 'mendukung', 'kebijakan', 'merdeka', 'belajar', 'kampus', 'merdeka']","['presiden', 'republik', 'indonesia', 'ri', 'joko', 'widodo', 'dukung', 'bijak', 'merdeka', 'ajar', 'kampus', 'merdeka']"
108,"Unars Jadi Tuan Rumah MBKM, PTS se-Besuki Raya Ikuti Sosialisasi ",Positif,unars jadi tuan rumah mbkm pts sebesuki raya ikuti sosialisasi,"['unars', 'jadi', 'tuan', 'rumah', 'mbkm', 'pts', 'sebesuki', 'raya', 'ikuti', 'sosialisasi']",<FreqDist with 10 samples and 10 outcomes>,"['unars', 'jadi', 'tuan', 'rumah', 'mbkm', 'pts', 'sebesuki', 'raya', 'ikuti', 'sosialisasi']","['unars', 'jadi', 'tuan', 'rumah', 'mbkm', 'pts', 'sebesuki', 'raya', 'ikuti', 'sosialisasi']","['unars', 'jadi', 'tuan', 'rumah', 'mbkm', 'pts', 'besuk', 'raya', 'ikut', 'sosialisasi']"
109,"Bisa nda, kita berharap gerakan mahasiswa bertransformasi menjadi gerakan buruh, bukan hanya aliansi atau gerakan ",Positif,bisa nda kita berharap gerakan mahasiswa bertransformasi menjadi gerakan buruh bukan hanya aliansi atau gerakan,"['bisa', 'nda', 'kita', 'berharap', 'gerakan', 'mahasiswa', 'bertransformasi', 'menjadi', 'gerakan', 'buruh', 'bukan', 'hanya', 'aliansi', 'atau', 'gerakan']",<FreqDist with 13 samples and 15 outcomes>,"['bisa', 'nda', 'kita', 'berharap', 'gerakan', 'mahasiswa', 'bertransformasi', 'menjadi', 'gerakan', 'buruh', 'bukan', 'hanya', 'aliansi', 'atau', 'gerakan']","['bisa', 'nda', 'kita', 'berharap', 'gerakan', 'mahasiswa', 'bertransformasi', 'menjadi', 'gerakan', 'buruh', 'bukan', 'hanya', 'aliansi', 'atau', 'gerakan']","['bisa', 'nda', 'kita', 'harap', 'gera', 'mahasiswa', 'transformasi', 'jadi', 'gera', 'buruh', 'bukan', 'hanya', 'aliansi', 'atau', 'gera']"
110,kalo mbkm dan prodi ngijinin konversi sks ya engga ikut perkuliahan nder,Positif,kalo mbkm dan prodi ngijinin konversi sks ya engga ikut perkuliahan nder,"['kalo', 'mbkm', 'dan', 'prodi', 'ngijinin', 'konversi', 'sks', 'ya', 'engga', 'ikut', 'perkuliahan', 'nder']",<FreqDist with 12 samples and 12 outcomes>,"['kalo', 'mbkm', 'dan', 'prodi', 'ngijinin', 'konversi', 'sks', 'engga', 'ikut', 'perkuliahan', 'nder']","['kalo', 'mbkm', 'dan', 'prodi', 'ngijinin', 'konversi', 'sks', 'engga', 'ikut', 'perkuliahan', 'nder']","['kalo', 'mbkm', 'dan', 'prodi', 'ngijinin', 'konversi', 'sks', 'engga', 'ikut', 'kuliah', 'nder']"
111,12 JAM MAIN HP MULU ANJING MBKM KAGA JALAN BEGO,Negatif,jam main hp mulu anjing mbkm kaga jalan bego,"['jam', 'main', 'hp', 'mulu', 'anjing', 'mbkm', 'kaga', 'jalan', 'bego']",<FreqDist with 9 samples and 9 outcomes>,"['jam', 'main', 'hp', 'mulu', 'anjing', 'mbkm', 'kaga', 'jalan', 'bego']","['jam', 'main', 'hp', 'mulu', 'anjing', 'mbkm', 'kaga', 'jalan', 'bego']","['jam', 'main', 'hp', 'mulu', 'anjing', 'mbkm', 'kaga', 'jalan', 'bego']"
112,aku aja ambil mbkm nyesel banget padahal jadwal mbkm bisa buat seneng2 malah ini bukan matkul wajib tapi bikin stres,Negatif,aku aja ambil mbkm nyesel banget padahal jadwal mbkm bisa buat seneng malah ini bukan matkul wajib tapi bikin stres,"['aku', 'aja', 'ambil', 'mbkm', 'nyesel', 'banget', 'padahal', 'jadwal', 'mbkm', 'bisa', 'buat', 'seneng', 'malah', 'ini', 'bukan', 'matkul', 'wajib', 'tapi', 'bikin', 'stres']",<FreqDist with 19 samples and 20 outcomes>,"['aku', 'ambil', 'mbkm', 'nyesel', 'padahal', 'jadwal', 'mbkm', 'bisa', 'buat', 'seneng', 'malah', 'bukan', 'matkul', 'wajib', 'tapi', 'stres']","['aku', 'ambil', 'mbkm', 'nyesel', 'padahal', 'jadwal', 'mbkm', 'bisa', 'buat', 'seneng', 'malah', 'bukan', 'matkul', 'wajib', 'tapi', 'stres']","['aku', 'ambil', 'mbkm', 'nyesel', 'padahal', 'jadwal', 'mbkm', 'bisa', 'buat', 'neng', 'malah', 'bukan', 'matkul', 'wajib', 'tapi', 'stres']"
113,Kami nggak tahu nominal uang saku/kompensasi magang MBKM ini. Itu haknya mahasiswa. Kantor juga memberikan kompensasi,Positif,kami nggak tahu nominal uang sakukompensasi magang mbkm ini itu haknya mahasiswa kantor juga memberikan kompensasi,"['kami', 'nggak', 'tahu', 'nominal', 'uang', 'sakukompensasi', 'magang', 'mbkm', 'ini', 'itu', 'haknya', 'mahasiswa', 'kantor', 'juga', 'memberikan', 'kompensasi']",<FreqDist with 16 samples and 16 outcomes>,"['kami', 'nggak', 'tahu', 'nominal', 'uang', 'sakukompensasi', 'magang', 'mbkm', 'itu', 'haknya', 'mahasiswa', 'kantor', 'juga', 'memberikan', 'kompensasi']","['kami', 'nggak', 'tahu', 'nominal', 'uang', 'sakukompensasi', 'magang', 'mbkm', 'itu', 'haknya', 'mahasiswa', 'kantor', 'juga', 'memberikan', 'kompensasi']","['kami', 'nggak', 'tahu', 'nominal', 'uang', 'sakukompensasi', 'magang', 'mbkm', 'itu', 'hak', 'mahasiswa', 'kantor', 'juga', 'beri', 'kompensasi']"
114,Anjir temen gua yang mbkm bener bener kayak ngilang padahal beberapa kerkom tapi bener bener gapeduli anjir u pada kerja rodi apa gimana,Negatif,anjir temen gua yang mbkm bener bener kayak ngilang padahal beberapa kerkom tapi bener bener gapeduli anjir  pada kerja rodi apa gimana,"['anjir', 'temen', 'gua', 'yang', 'mbkm', 'bener', 'bener', 'kayak', 'ngilang', 'padahal', 'beberapa', 'kerkom', 'tapi', 'bener', 'bener', 'gapeduli', 'anjir', 'pada', 'kerja', 'rodi', 'apa', 'gimana']",<FreqDist with 18 samples and 22 outcomes>,"['anjir', 'temen', 'gua', 'mbkm', 'bener', 'bener', 'kayak', 'ngilang', 'padahal', 'beberapa', 'kerkom', 'tapi', 'bener', 'bener', 'gapeduli', 'anjir', 'pada', 'kerja', 'rodi', 'apa', 'gimana']","['anjir', 'temen', 'gua', 'mbkm', 'bener', 'bener', 'kayak', 'ngilang', 'padahal', 'beberapa', 'kerkom', 'tapi', 'bener', 'bener', 'gapeduli', 'anjir', 'pada', 'kerja', 'rodi', 'apa', 'gimana']","['anjir', 'temen', 'gua', 'mbkm', 'bener', 'bener', 'kayak', 'ngilang', 'padahal', 'beberapa', 'kerkom', 'tapi', 'bener', 'bener', 'gapeduli', 'anjir', 'pada', 'kerja', 'rodi', 'apa', 'gimana']"
115,Tapi kalo misalnya ga make iming iming uangsaku yakin. Asli pasti ga semua mahasiswa mau ikut program mbkm,Negatif,tapi kalo misalnya ga make iming iming uangsaku yakin asli pasti ga semua mahasiswa mau ikut program mbkm,"['tapi', 'kalo', 'misalnya', 'ga', 'make', 'iming', 'iming', 'uangsaku', 'yakin', 'asli', 'pasti', 'ga', 'semua', 'mahasiswa', 'mau', 'ikut', 'program', 'mbkm']",<FreqDist with 16 samples and 18 outcomes>,"['tapi', 'kalo', 'misalnya', 'make', 'iming', 'iming', 'uangsaku', 'yakin', 'asli', 'pasti', 'semua', 'mahasiswa', 'mau', 'ikut', 'program', 'mbkm']","['tapi', 'kalo', 'misalnya', 'make', 'iming', 'iming', 'uangsaku', 'yakin', 'asli', 'pasti', 'semua', 'mahasiswa', 'mau', 'ikut', 'program', 'mbkm']","['tapi', 'kalo', 'misal', 'make', 'iming', 'iming', 'uangsaku', 'yakin', 'asli', 'pasti', 'semua', 'mahasiswa', 'mau', 'ikut', 'program', 'mbkm']"
